org,repo,activity,comments,prs,commits,issues,authors,project,url
torvalds,linux,341065,270665,67666,70400,67666,4055,Linux kernel,kernel.org
kubernetes,kubernetes+test-infra+kubernetes.github.io+kops+charts+helm+ingress+minikube+dashboard+community+contrib+heapster+kubeadm+features+release+client-go+kube-state-metrics+autoscaler+kubernetes-anywhere+frakti+dns+node-problem-detector+kompose+perf-tests+k8s.io+examples+gengo+kube-deploy+git-sync+kubectl+repo-infra+utils+pr-bot+sig-release+apimachinery+kube-openapi+kubernetes-bootcamp+apiserver+apiextensions-apiserver+metrics+sample-apiserver+kubernetes-template-project+kube-aggregator+api+steering+kubernetes-docs-cn+md-check+kube-ui+cluster-proportional-autoscaler+ocid+kubedash+kube2consul,295530,211120,44000,14402,26008,1819,Kubernetes,kubernetes.io
codeaurora-unofficial,kernel-msm-3.10+kernel-msm+platform-frameworks-base+platform-frameworks-av+platform-hardware-qcom-audio+platform-frameworks-native+platform-packages-apps-Bluetooth+platform-system-core+linux-msm+platform-external-wpa_supplicant_8+platform-build+platform-hardware-qcom-display+platform-libcore+packages-services-Telephony+platform-hardware-qcom-media+platform-hardware-qcom-gps+platform-frameworks-opt-net-wifi+platform-packages-apps-Settings+platform-frameworks-opt-telephony+platform-bionic+platform-hardware-libhardware+platform-packages-apps-Dialer+platform-external-skia+packages-services-Telecomm+platform-frameworks-ex+platform-packages-apps-Nfc+platform-external-libnfc-nci+platform-system-extras+platform-art+device-qcom-sepolicy+platform-system-netd+platform-development+platform-external-icu+platform-system-media+platform-packages-apps-PackageInstaller+platform-hardware-qcom-bt+platform-packages-apps-Mms+platform-hardware-qcom-wlan+platform-packages-apps-UnifiedEmail+platform-external-libxml2+platform-packages-apps-CertInstaller+platform-packages-apps-ContactsCommon+platform-external-e2fsprogs+platform-frameworks-opt-net-ims+platform-system-vold+platform-packages-apps-Stk+platform-hardware-ril+platform-packages-apps-Contacts+packages-providers-TelephonyProvider+platform-packages-apps-Email+platform-packages-apps-CellBroadcastReceiver+packages-providers-ContactsProvider+platform-packages-apps-Launcher3+platform-hardware-libhardware_legacy+platform-frameworks-wilhelm+platform-packages-inputmethods-LatinIME+platform-packages-apps-DeskClock+platform-packages-apps-TvSettings+platform-hardware-broadcom-libbt+platform-packages-apps-Gallery2+platform-libnativehelper+platform-packages-apps-Camera2+platform-packages-apps-ManagedProvisioning+platform-external-sepolicy+packages-services-Mms+platform-packages-apps-KeyChain+platform-packages-apps-PhoneCommon+platform-external-f2fs-tools+platform-frameworks-opt-chips+platform-external-tinyalsa+platform-packages-apps-BasicSmsReceiver+platform-packages-apps-SoundRecorder+platform-external-libpng+platform-external-tinycompress+platform-packages-apps-MusicFX+platform-packages-apps-Tag+platform-frameworks-opt-bluetooth+platform-vendor-qcom-opensource-wlan-qcacld-3.0+platform-hardware-intel-common-utils+platform-packages-apps-InCallUI+platform-external-flac+platform-packages-apps-Terminal+platform-external-libselinux+platform-vendor-qcom-opensource-wlan-fw-api+platform-vendor-qcom-opensource-wlan-qca-wifi-host-cmn+platform-hardware-intel-img-hwcomposer+platform-hardware-intel-common-omx-components+platform-packages-apps-Provision+platform-hardware-qcom-keymaster+platform-hardware-intel-img-psb_video+platform-packages-apps-Calendar+platform-external-bluetooth-bluedroid+platform-hardware-intel-common-libstagefrighthw+platform-packages-apps-Calculator+platform-external-openssl+platform-hardware-intel-common-libva+platform-packages-apps-HTMLViewer+platform-packages-apps-SpareParts+platform-hardware-intel-img-psb_headers+platform-packages-apps-OneTimeInitializer+platform-hardware-intel-audio_media+platform-hardware-intel-common-libmix+platform-hardware-intel-common-wrs_omxil_core+platform-external-dhcpcd+platform-packages-apps-Browser+platform-hardware-intel-common-libwsbm,4561,0,0,4561,0,998,Code Aurora,www.codeaurora.org
nodejs,node+help+build+nodejs.org+node-gyp+docker-node+citgm+abi-stable-node+node-chakracore+TSC+CTC+community-committee+LTS+readable-stream+node-eps+nodejs-ko+llnode+benchmarking+github-bot+http2+evangelism+nan+node-addon-api+node-report+nodereport+security-wg+diagnostics+node-v0.x-archive+http-parser+summit+node-v8+code-and-learn+node-api+education+board+post-mortem+node-inspect+installer+version-management+promises+docs+testing+v8+email+membership+worker+NG+vm+nodejs-collection+Intl+inclusivity+api+getting-started+nodejs-ja+live.nodejs.org+abi-stable-node-addon-examples+abi-stable-node-wrapper+string_decoder+nodejs-dist-indexer+nodejs-tr+node-addon-examples+nodejs.org-new+nodejs-de+nodejs-uk+community-events+roadmap+logos+nodejs-zh-CN+nodejs-nightly-builder+nodejs-pt+Future-CI+docker-iojs+nodejs-bg+smoke-test+hardware+nodejs-es+nodejs-hi+Collaborators+node-convergence-archive+ffi+foundation.nodejs.org+nodejs-bn+nodejs-ru+iojs.org+http+nodejs-ka+nodejs-zh-TW+nodejs-ar,96452,69349,10714,7004,9385,887,Node.js,nodejs.org
cloudfoundry,public-buildpacks-ci-robots+buildpacks-ci+relint-ci-pools+bosh+cli+cf-deployment+uaa+diego-release+cf-release+cloud_controller_ng+loggregator+cf-java-client+bosh-cli+diego-ci-pools+runtime-ci+java-buildpack+bosh-bootloader+cf-mysql-release+grootfs-release+grootfs-ci-locks+docs-cf-admin+php-buildpack+bosh-agent+garden-runc-release+docs-bosh+cf-acceptance-tests+dotnet-core-buildpack+guardian+gorouter+bosh-deployment+docs-dev-guide+nodejs-buildpack+grootfs+infrastructure-ci+ruby-buildpack+uaa-release+capi-ci+loggregator-ci+docs-buildpacks+garden-ci-pools+bosh-softlayer-cpi-release+staticfile-buildpack+python-buildpack+docs-cloudfoundry-concepts+bosh-softlayer-cpi+go-buildpack+docs-book-cloudfoundry+pmc-notes+diego-cf-compatibility+bosh-utils+docs-deploying-cf+cf-deployment-concourse-tasks+ibm-websphere-liberty-buildpack+bbs+dns-release+capi-release+bosh-linux-stemcell-builder+postgres-release+bosh-deployment-resource+bosh-lite+diego-ci+docs-services+persi-ci+jvmkill+java-buildpack-dependency-builder+cf-final-release-election+cf-mysql-deployment+mega-ci+executor+binary-builder+diego-windows-release+homebrew-tap+docs-running-cf+wats+buildpackapplifecycle+bosh-init+binary-buildpack+cf-smoke-tests+bosh-acceptance-tests+libbuildpack+docs-loggregator+summit-training-classes+machete+route-emitter+scalable-syslog+inigo+config-server+cf-uaac+rep+uptimer+docs-cf-cli+brats+syslog-release+java-buildpack-memory-calculator+sprout-capi+diego-perf-release+cf-deployment-transition-compatibility+cf-smoke-tests-release+nfs-volume-release+noaa+diego-ssh+stacks+garden+os-conf-release+garden-integration-tests+statsd-injector-release+garden-windows-release+nats-release+cf-deployment-transition+bosh-gcscli+cflinuxfs2-rootfs-release+garden-windows+scalable-syslog-release+locket+compile-extensions+lager+auctioneer+cflinuxfs2+bosh-notes+cf-uaa-lib+grootfs-diagnostics-release+grootfs-bench-release+uaa-singular+nsync+windows_app_lifecycle+cats-concourse-task+diego-upgrade-stability-tests+loggregator-api+diego-dev-notes+cacheddownloader+capi-dockerfiles+identity-tools+cfdot+dea_ng+benchmarkbbs+cflinuxfs2-release+dropsonde+buildpack-packager+bosh-cpi-ruby+cf-dotnet-sdk+mariadb_ctrl+v3-cli-plugin+cf-relint-ci-semver+docs-routing+config-server-release+vizzini+cf-msbuild-tasks+java-buildpack-security-provider+java-buildpack-metric-writer+uaa-hey+healthcheck+garden-shed+exemplar-release+java-buildpack-system-test+runtime-og-ci+java-buildpack-auto-reconfiguration+bytefmt+grootfs-bench+stager+docs-bbr+tps+php-buildpack-release+java-test-applications+diego-design-notes+volman+networking-release+statsd-injector+garden-dockerfiles+diego-stress-tests+ruby-buildpack-release+hm9000+sipid+cli-acceptance-tests+staticfile-buildpack-release+bosh-davcli+nodejs-buildpack-release+diodes+python-buildpack-release+sync-integration-tests+sonde-go+firehose-plugin+dotnet-core-buildpack-release+yagnats+gnatsd+consuladapter+bosh-hm-forwarder-release+IronFrame+go-buildpack-release+cf-mysql-broker+diego-dockerfiles+cf-vs-extension+binary-buildpack-release+dea-hm-workspace+hwc-buildpack+java-buildpack-release+bosh-dns-release+garden-linux-release+gosigar+java-buildpack-container-customizer+auction+java-offline-buildpack-release+voldriver+storeadapter+dea_logging_agent+cli-docs-scripts+cc-uploader+diego-datadog-templates+CLAW+route-registrar+commandrunner+garden-performance-acceptance-tests+routing-ci+wincni+dropsonde-protocol+java-buildpack-container-certificate-trust-store+cf-riak-cs-release+api-docs+clock+loggregator-dotfiles+idmapper+java-buildpack-support+loggregatorlib+warden+cfhttp+cf-release-integration-checkman+diegocanaryapp+fileserver+capi-integration-tests+multierror+local-volume-release+debugserver+urljoiner+cf-infrastructure-checkman+go-loggregator+docs-credhub+persi-acceptance-tests+cf-syslog-drain-release+runtimeschema+capi-checkman+csibroker+workpool+gunk+bosh-s3cli+loggregator_emitter+blobstore_url_signer+dockerapplifecycle+ykk+nfsbroker+omniauth-uaa-oauth2+go-fetcher+cf-message-bus+delayed_job_sequel+java-buildpack-client-certificate-mapper+logos+bosh-hm-forwarder+docs-uaa+dropsonde-protocol-js+cflinuxfs3-release+systemcerts+goshims+durationjson+badapps+buildpack-releases+docs-book-uaa-api+archiver+steno+sprout-bosh+cc-api-v3-style-guide+cflager+localip+nfsv3driver+eventhub+canibump+mysql+operationq+gofileutils+showmewhatyougot+garden-lite+datadog-firehose-nozzle+datadog-firehose-nozzle-release+gibson+gdn+nfsdriver+sprout-routing+garden-linux+ocimon+garden-runc-docs+localdriver+converger+go-ccapi+garden-ci-artifacts-release+mkman+bosh-aws-tools-release+vcap-common+localbroker+image+bosh-packer-templates+batching+mkman-version+volume_driver_cert+warden-test-infrastructure+bsdtar+example-git-buildpack+docs-gsg-cf+collector+platform-certification,105601,13460,4695,82128,5318,819,Cloud Foundry,cloudfoundry.org
opendaylight,releng-autorelease+docs+netvirt+releng-builder+controller+integration-test+genius+mdsal+yangtools+netconf+openflowplugin+odlparent+bgpcep+sfc+aaa+groupbasedpolicy+ovsdb+lispflowmapping+integration-distribution+integration-packaging+iotdm+unimgr+neutron+infrautils+bier+honeycomb-vbd+nic+sxp+vtn+integration-packaging-puppet-opendaylight+topoprocessing+opflex+alto+openflowjava+cardinal+eman+dlux+daexim+l2switch+snmp4sdn+tsdr+dluxapps+usc+ttp+sdninterfaceapp+faas+packetcable+transportpce+of-config+nemo+coe+snmp+ocpplugin+federation+next+netide+lacp+integration-packaging-ansible-opendaylight+didm+coretutorials+capwap+jsonrpc+p4plugin+centinel+snbi+spectrometer+usecplugin+systemmetrics+natapp+yang-push+atrium+fpc+yangide+tcpmd5+messaging4transport+vpnservice,28038,10,18,28010,0,447,OpenDaylight,www.opendaylight.org
prometheus,prometheus+alertmanager+node_exporter+docs+snmp_exporter+client_java+blackbox_exporter+client_golang+jmx_exporter+client_python+tsdb+mysqld_exporter+prometheus.github.io+common+pushgateway+client_ruby+promu+cloudwatch_exporter+statsd_exporter+procfs+consul_exporter+haproxy_exporter+prombench+graphite_exporter+prom2json+golang-builder+collectd_exporter+memcached_exporter+influxdb_exporter+client_model+busybox+promdash+nagios_plugins,25716,15084,3806,3331,3495,407,Prometheus,prometheus.io
hyperledger,composer+iroha+sawtooth-core+fabric+indy-sdk+iroha-ametsuchi+indy-plenum+indy-node+fabric-sdk-node+iroha-android+burrow+ci-management+fabric-ca+fabric-sdk-java+composer-sample-networks+composer-sample-applications+fabric-sdk-go+fabric-sdk-py+composer-tools+cello+indy-anoncreds+fabric-chaintool+hyperledger+iroha-ios+composer-sample-models+composer-vscode-plugin+composer-sample-applications-hlfv1+iroha-javascript+indy-client+iroha-python+fabric-cop+fabric-samples+iroha-docker+indy-common+fabric-baseimage+fabric-test+indy-stp+indy-ledger+fabric-chaincode-node+fabric-sdk-rest+composer-atom-plugin+iroha-scala+blockchain-explorer+iroha-network-tools+fabric-test-resources+iroha-dotnet+homebrew-fabric+fabric-api+cello-analytics+indy-state+sawtooth-docs+slack-archive+hyperledgerwp+education+fabric-busybox+indy-crypto+sawtooth-mktplace+mirror-test+fabric-chaincode-java+fabric-docs+cello-k8s-operator,21241,3517,6012,10084,1628,403,Hyperledger Project,hyperledger.org
grpc,grpc+grpc-java+grpc-go+grpc.github.io+grpc-swift+proposal+grpc-haskell+grpc-experiments+homebrew-grpc+grpc-docker-library+grpc-proto+grpc-common+grpc-contrib,35479,19299,7930,3555,4695,316,gRPC,grpc.io
opnfv,opnfvdocs+releng+functest+yardstick+qtip+apex+joid+armband+fuel+compass4nfv+daisy+sfc+dovetail+sdnvpn+bottlenecks+vswitchperf+storperf+doctor+moon+kvmfornfv+releng-anteater+parser+models+opera+fds+multisite+domino+barometer+netready+promise+escalator+copper+ves+ipv6+nfvbench+octopus+availability+onosfw+openretriever+pharos+ovno+samplevnf+apex-tripleo-heat-templates+securityscanning+apex-puppet-tripleo+releng-xci+ovsnfv+cperf+orchestra+vnf_forwarding_graph+fastpathmetrics+apex-os-net-config+opnfv-ravello-demo,9520,1,2,9515,2,252,OPNFV,www.opnfv.org
opennetworkinglab,onos,3100,18,33,3049,0,195,ONOS,onosproject.org
zephyrproject-rtos,zephyr+zephyr-testing+ci-pipelines+ci-management+meta-zephyr-sdk+net-tools+ci-dockerfiles+docs-theme+ci-job-configs+ci-test+project-docs+sdk-ng+ci-ansible-deployment+zephyr-arm+openocd+infrastructure+heartrate-monitor,10414,2283,2719,5329,83,190,Zephyr Project,www.zephyrproject.org
fluent,fluentd+fluent-bit+fluent-plugin-kafka+fluentd-docker-image+fluentd-docs+fluent-plugin-s3+fluentd-kubernetes-daemonset+fluentd-website+fluent-bit-docs+fluent-logger-node+fluent-logger-python+fluent-logger-ruby+fluent-plugin-webhdfs+fluent-logger-golang+fluent-plugin-grok-parser+fluent-plugin-mongo+fluent-bit-kubernetes-daemonset+kafka-connect-fluentd+fluent-logger-perl+fluent-plugin-rewrite-tag-filter+fluent-plugin-sql+fluent-bit-docker-image+fluent-plugin-windows-eventlog+fluentd-ui+fluent-bit-go+fluent-logger-scala+fluent-plugin-flume+fluent-logger-java+serverengine+fluentd-forwarder+fluent-plugin-multiprocess+fluent-logger-php+NLog.Targets.Fluentd+fluent-bit-packaging+fluentd-benchmark+nginx-fluentd-module+fluent-bit-docker+data-collection+fluent-plugin-scribe+fluentd-docs-kubernetes,8925,4016,1403,2388,1118,156,Fluentd,fluentd.org
openvswitch,ovs+ovn-kubernetes+openvswitch.github.io+ovn-scale-test+ovs-issues+of-config,3078,625,345,1999,109,154,Open vSwitch,openvswitch.org
iotivity,iotivity+iotivity-constrained+ci-management+iotivity-alljoyn-bridge+iotivity-upnp-bridge+iotivity-node,3703,32,21,3632,18,154,IoTivity,www.iotivity.org
opencontainers,image-spec+runc+runtime-spec+runtime-tools+image-tools+go-digest+tob+project-template+certification+selinux+ocitools+go-selinux+web+runc.io,16540,11497,3127,1166,750,120,Open Container Initiative,www.opencontainers.org
iovisor,bcc+gobpf+ply+iovisor-ovn+ubpf+iomodules+xdp-vagrant+hoverui+bpf-docs+libiov,4496,2426,1013,604,453,117,IO Visor Project,www.iovisor.org
