key,value
activity,725551
comments,373825
prs,96783
commits,195685
issues,59258
authors,8472
activity/comments,1.9409
activity/prs,7.4967
activity/commits,3.7077
activity/issues,12.2439
activity/authors,85.6411
comments/activity,0.5152
comments/prs,3.8625
comments/commits,1.9103
comments/issues,6.3084
comments/authors,44.1248
prs/activity,0.1334
prs/comments,0.2589
prs/commits,0.4946
prs/issues,1.6332
prs/authors,11.4239
commits/activity,0.2697
commits/comments,0.5235
commits/prs,2.0219
commits/issues,3.3023
commits/authors,23.0979
issues/activity,0.0817
issues/comments,0.1585
issues/prs,0.6123
issues/commits,0.3028
issues/authors,6.9946
authors/activity,0.0117
authors/comments,0.0227
authors/prs,0.0875
authors/commits,0.0433
authors/issues,0.143
